1.00000 0.00000 -0.20361 -0.45899 -1.51124 -0.20408 -0.21019 1.00000
1.00000 0.00000 -0.20355 -0.45899 -2.09856 -0.20402 -0.24526 0.99500
1.00000 0.00000 -0.20344 -0.45899 -1.03693 -0.20390 -0.24987 0.99000
1.00000 0.00000 -0.20373 -0.45899 -3.00756 -0.20421 -0.27435 0.98500
1.00000 0.00000 -0.20378 -0.45899 -1.51124 -0.20426 -0.27435 0.98000
1.00000 0.00000 -0.20372 -0.45899 -1.51124 -0.20420 -0.27435 0.97500
1.00000 0.00000 -0.20375 -0.45899 -2.98142 -0.20423 -0.27435 0.97000
1.00000 0.00000 -0.20378 -0.45899 -2.98142 -0.20426 -0.27435 0.96500
1.00000 0.00000 -0.20381 -0.45899 -1.03693 -0.20429 -0.27435 0.96000
1.00000 0.00000 -0.20381 -0.45899 -3.00756 -0.20429 -0.27435 0.95500
1.00000 0.00000 -0.20381 -0.45899 -3.00756 -0.20429 -0.27435 0.95000
1.00000 1.00000 -0.20314 -0.45899 -2.09856 -0.20381 0.02910 0.94500
1.00000 1.00000 -0.20365 -0.45899 -1.03693 -0.20412 -0.27435 0.94000
1.00000 0.00000 -0.20339 -0.45899 -3.00756 -0.20384 -0.23005 0.05000
1.00000 0.00000 -0.20333 -0.45899 -3.00756 -0.20378 -0.18334 0.04995
1.00000 0.00000 -0.20348 -0.45899 -2.09856 -0.20394 -0.24222 0.04991
1.00000 0.00000 -0.20357 -0.45899 -2.09856 -0.20404 -0.21176 0.04986
1.00000 0.00000 -0.20338 -0.45899 -1.03693 -0.20383 -0.15136 0.04981
1.00000 0.00000 -0.20332 -0.45899 -2.98142 -0.20377 -0.07858 0.04977
1.00000 0.00000 -0.20361 -0.45899 -1.51124 -0.20408 -0.27435 0.04972
1.00000 0.00000 -0.20348 -0.45899 -2.98142 -0.20394 -0.20423 0.04968
1.00000 0.00000 -0.20359 -0.45899 -2.09856 -0.20405 -0.24817 0.04963
1.00000 0.00000 -0.20341 -0.45899 -1.51124 -0.20386 -0.21325 0.04958
1.00000 0.00000 -0.20340 -0.45899 -1.03693 -0.20386 -0.15210 0.04954
1.00000 0.00000 -0.20344 -0.45899 -2.98142 -0.20390 -0.17308 0.04949
1.00000 0.00000 -0.20345 -0.45899 -1.51124 -0.20391 -0.12050 0.04944
1.00000 0.00000 -0.20364 -0.45899 -1.51124 -0.20411 -0.24731 0.04940
1.00000 0.00000 -0.20348 -0.45899 -1.03693 -0.20395 -0.26361 0.04935
1.00000 0.00000 -0.20364 -0.45899 -1.03693 -0.20411 -0.27435 0.04930
1.00000 0.00000 -0.20350 -0.45899 -1.03693 -0.20396 -0.27435 0.04926
1.00000 0.00000 -0.20355 -0.45899 -2.98142 -0.20401 -0.27435 0.04921
1.00000 0.00000 -0.20353 -0.45899 -1.51124 -0.20399 -0.24494 0.04917
1.00000 0.00000 -0.20358 -0.45899 -2.98142 -0.20405 -0.27435 0.04912
1.00000 0.00000 -0.20345 -0.45899 -2.98142 -0.20391 -0.24109 0.04907
1.00000 0.00000 -0.20361 -0.45899 -2.09856 -0.20408 -0.25216 0.04903
1.00000 0.00000 -0.20348 -0.45899 -3.00756 -0.20395 -0.23466 0.04898
1.00000 0.00000 -0.20364 -0.45899 -1.03693 -0.20411 -0.23381 0.04893
1.00000 0.00000 -0.20351 -0.45899 -2.09856 -0.20397 -0.26035 0.04889
