query_id,position,score,protAttr
50,1992,0.0002884235311041844,0
50,2107,-0.0006897882034817282,0
50,2006,-0.0028735390529840282,0
50,1994,-0.0071704685786952715,0
50,2010,-0.009389110936860998,0
49,1791,-0.009670700405630915,0
50,2044,-0.01097849010554533,0
50,2009,-0.01329869684664868,0
49,1792,-0.01396276588701388,0
50,2016,-0.02105061131286921,0
50,2017,-0.02174603769799968,0
50,2005,-0.02200623861599249,0
50,2059,-0.02216209277150594,0
50,1995,-0.022169213805278382,0
49,1818,-0.0229333081974328,0
50,1996,-0.02326873264332729,0
50,2072,-0.02327289955891912,0
50,2050,-0.023599906283502618,0
50,2056,-0.023619377586157092,0
50,2095,-0.023718494993113192,0
49,1829,-0.02439860112002351,0
50,2027,-0.02471501075831351,0
50,2036,-0.02547993079159564,0
47,1391,-0.02593023529537051,0
50,2014,-0.02626359479088956,0
50,2074,-0.02632792073806944,0
50,2032,-0.02646369961329624,0
49,1803,-0.02692346484280675,0
50,1991,-0.02787191883824207,0
50,2051,-0.028571998019844218,0
50,2049,-0.02894418467866182,0
49,1794,-0.02911248411718007,0
50,2015,-0.02919559221461395,0
50,2171,-0.3947473715209353,1
50,2162,-0.030786899095558262,0
50,2008,-0.03087422932097992,0
41,30,-0.03153800325245108,0
41,118,-0.03156635746574809,0
41,36,-0.03159264955444168,0
41,53,-0.03159728933479937,0
41,166,-0.03160089805285535,0
41,32,-0.03160734219224103,0
41,67,-0.03160811548896732,0
41,45,-0.03160914655126903,0
41,141,-0.03161198197259873,0
41,97,-0.031614559628352995,0
50,2047,-0.03161631679669802,0
41,96,-0.03162280812676668,0
41,80,-0.03162332365791753,0
41,49,-0.03162409695464381,0
41,76,-0.03162435472021924,0
50,2178,-0.3977164325592265,1
41,110,-0.031624612485794665,0
41,44,-0.03162487025137009,0
41,79,-0.03162719014154894,0
41,42,-0.031628994500576935,0
41,9,-0.031630283328454065,0
41,13,-0.031630283328454065,0
41,14,-0.031630283328454065,0
41,75,-0.031630283328454065,0
41,115,-0.031630283328454065,0
41,134,-0.031630283328454065,0
41,149,-0.031630283328454065,0
41,153,-0.031630283328454065,0
41,158,-0.031630283328454065,0
41,175,-0.031630283328454065,0
41,176,-0.031630283328454065,0
50,2175,-0.4051009663558552,1
41,177,-0.031630283328454065,0
42,201,-0.031716646887812734,0
50,1998,-0.031835124430020366,0
50,2019,-0.032104239537819365,0
41,130,-0.03211957300438868,0
49,1800,-0.032128696881601984,0
50,2081,-0.03213302466798078,0
41,26,-0.03215437135707137,0
41,71,-0.0321621043243342,0
41,4,-0.03216906399487073,0
41,172,-0.03219870703604487,0
41,144,-0.03220076916064829,0
41,56,-0.03220644000330769,0
41,92,-0.032209533190212816,0
41,25,-0.032210564252514534,0
48,1621,-0.4071683977789946,1
41,131,-0.0322159773295985,0
41,47,-0.03221855498535278,0
41,66,-0.03221932828207906,0
41,83,-0.03222010157880534,0
41,165,-0.03222061710995619,0
41,128,-0.032222421468984186,0
41,88,-0.032223710296861316,0
41,129,-0.03222422582801217,0
41,98,-0.032226030187040164,0
41,8,-0.0322291233739453,0
41,10,-0.0322291233739453,0
41,58,-0.0322291233739453,0
41,104,-0.0322291233739453,0
50,2180,-0.4084996146812638,1
41,124,-0.0322291233739453,0
41,143,-0.0322291233739453,0
41,150,-0.0322291233739453,0
41,151,-0.0322291233739453,0
41,174,-0.0322291233739453,0
50,2012,-0.032246118066004865,0
42,204,-0.0322909485898648,0
42,261,-0.03238193983799064,0
42,274,-0.032404880974203666,0
42,353,-0.03244096815476349,0
42,333,-0.03244277251379149,0
42,301,-0.03244509240397034,0
42,252,-0.03246262046309939,0
41,191,-0.4153955606523678,1
42,314,-0.03246262046309939,0
42,327,-0.03246983789921136,0
42,332,-0.03247164225823935,0
42,209,-0.03247344661726734,0
42,214,-0.03247344661726734,0
42,232,-0.03247808639762503,0
42,331,-0.03248504606816157,0
42,368,-0.03248762372391584,0
42,220,-0.03248942808294383,0
42,263,-0.03249045914524554,0
42,291,-0.03249741881578208,0
42,295,-0.03250076976826263,0
49,1970,-0.4156958389321156,1
42,225,-0.0325193288896934,0
42,226,-0.0325193288896934,0
42,287,-0.0325193288896934,0
42,307,-0.0325193288896934,0
42,334,-0.0325193288896934,0
42,346,-0.0325193288896934,0
42,352,-0.0325193288896934,0
42,374,-0.0325193288896934,0
42,377,-0.0325193288896934,0
49,1877,-0.032574767988607964,0
48,1627,-0.03261324840541812,0
49,1826,-0.03278600291486497,0
50,2060,-0.032862127413246636,0
41,21,-0.4159129467760241,1
49,1806,-0.03294826135731083,0
50,2001,-0.03300583812876079,0
42,202,-0.03302055909455009,0
50,2146,-0.03310932034452205,0
50,2046,-0.03313366159219599,0
42,241,-0.03317805386113618,0
42,300,-0.03325744565836779,0
50,2106,-0.03326415746764716,0
42,250,-0.03329147071432419,0
42,271,-0.03343195295293208,0
50,2025,-0.033434247556663736,0
42,207,-0.033435561670988066,0
41,198,-0.4160227549111561,1
42,258,-0.033438397092317766,0
42,279,-0.0334453567628543,0
42,313,-0.03345025430878742,0
42,367,-0.03349562105006263,0
42,351,-0.03350000306484489,0
42,215,-0.03351727335839853,0
42,336,-0.03352113984202994,0
42,236,-0.03352320196663335,0
42,322,-0.0335255218568122,0
42,299,-0.03353480141752758,0
42,359,-0.03353480141752758,0
42,380,-0.03353557471425386,0
41,23,-0.4160361587210784,1
42,319,-0.03353789460443271,0
42,278,-0.03354176108806412,0
42,247,-0.033543049915941266,0
42,254,-0.033548205227449814,0
42,218,-0.033554391601260065,0
42,249,-0.033554391601260065,0
42,281,-0.033554391601260065,0
42,344,-0.033554391601260065,0
42,355,-0.033554391601260065,0
42,378,-0.033554391601260065,0
42,379,-0.033554391601260065,0
49,1843,-0.0336600240132898,0
41,24,-0.4160361587210784,1
49,1793,-0.03374979058914168,0
49,1822,-0.03393656788578224,0
45,991,-0.03400194530867374,0
41,37,-0.03401625249132058,0
46,1191,-0.034029347247899085,0
41,95,-0.03408945791474193,0
41,6,-0.03409074674261907,0
49,1840,-0.0340977825237269,0
41,103,-0.034101830662362435,0
41,85,-0.034107243739446416,0
41,34,-0.03410930586404984,0
41,193,-0.4160361587210784,1
41,38,-0.03411781212803894,0
41,122,-0.03411910095591607,0
41,89,-0.03412064754936864,0
41,70,-0.03412193637724577,0
41,100,-0.034125287329726334,0
41,62,-0.034125802860877186,0
41,168,-0.0341268339231789,0
41,57,-0.03412760721990517,0
41,5,-0.03412889604778231,0
41,55,-0.03413018487565945,0
